MMC,Product_BusinessUnitDesc,Encoded_Label
010M03A1116X9000,W RTW,2
010M09A1101X0863,W RTW,2
010M27A0006X0200,W RTW,2
011A11A1166X4150,W RTW,2
011A11A1166X9000,W RTW,2
011B13A6014X0200,W RTW,2
011B48A3874X0863,W RTW,2
011D01A1166X5645,W RTW,2
011D01A1166X9000,W RTW,2
011D02A1166X3250,W RTW,2
011G05ACMIXX0863,W RTW,2
011G07A1166X9000,W RTW,2
011G12A1166X4150,W RTW,2
011G13A1212X0200,W RTW,2
011J12A1166X9000,W RTW,2
011J22X8801X9000,W RTW,2
011J50A8976X9632,W RTW,2
011P11A1166X9000,W RTW,2
011P12A3862X0863,W RTW,2
011P34A1166X5435,W RTW,2
011R33A7970X9639,W RTW,2
011R68A1212X4150,W RTW,2
011R70A1166X9000,W RTW,2
011V41A3062X5435,W RTW,2
012A09A3232X5597,W RTW,2
012B03A3985X5902,W RTW,2
012J03A3236X0835,W RTW,2
013L02A4006X5435,W RTW,2
013T03WC437X9663,W RTW,2
013T05TU430X0854,W RTW,2
014C10AM034X1705,W RTW,2
014E01CM514X0863,W RTW,2
014E20CM514X0863,W RTW,2
014E20TU507X0850,W RTW,2
014P02AM042X5800,W RTW,2
014S26AM028X2847,W RTW,2
014S52AM044X9650,W RTW,2
014S52WC029X0863,W RTW,2
014S55AM042X0820,W RTW,2
014S58AM304X0200,W RTW,2
014S59AM005X4220,W RTW,2
014S62TM033X5902,W RTW,2
014S73AM105X4235,W RTW,2
014S92AM032X0863,W RTW,2
015R30AL030X9000,W RTW,2
015V02WL220X8265,W RTW,2
017M44A2960X9000,W RTW,2
017V55A2960X6830,W RTW,2
01BB01A2102X4847,W RTW,2
021B18A8765X4150,W RTW,2
021B39A6009X4217,W RTW,2
021B39A7018X5840,W RTW,2
021E04A7722X1851,W RTW,2
021J12A8676X9366,W RTW,2
021J21A8680X9381,W RTW,2
021J50A7109X5830,W RTW,2
021L11A6724X9376,W RTW,2
021L35ADMIXX0200,W RTW,2
021P05A9718X9611,W RTW,2
021P38A6560X9654,W RTW,2
021R11A8676X9366,W RTW,2
021R14A1212X0200,W RTW,2
021R14A1212X9000,W RTW,2
021R26A6724X9376,W RTW,2
021R26ADMIXX0200,W RTW,2
021R33X8808X9000,W RTW,2
021R36X8808X9000,W RTW,2
021R53A7722X1851,W RTW,2
021R63A1166X4150,W RTW,2
021R63A1166X8270,W RTW,2
021R63A1166X9000,W RTW,2
021R71A8677X0845,W RTW,2
021R86A3836X9645,W RTW,2
021V26A3360X9305,W RTW,2
022P01A3154X9374,W RTW,2
022P24A3328X4220,W RTW,2
023T03TC443X9605,W RTW,2
023T05A4430X0858,W RTW,2
024E63AM308X9641,W RTW,2
024G03TM110X1660,W RTW,2
024S14TM014X9654,W RTW,2
024S26JG007X0875,W RTW,2
024S35TM110X8270,W RTW,2
027C10A2826X5882,W RTW,2
027C18A2961X0100,W RTW,2
027J19A3339X8270,W RTW,2
040M25A1113X1832,W RTW,2
040M25A1113X5871,W RTW,2
040M36A1116X1402,W RTW,2
040V23A1113X1832,W RTW,2
041B19A6009X9000,W RTW,2
041B22A1212X9000,W RTW,2
041B24A1212X9000,W RTW,2
041B27A6130X5609,W RTW,2
041B27A6170X0882,W RTW,2
041B27A6170X8882,W RTW,2
041B54A6740X1864,W RTW,2
041G03A1087X9330,W RTW,2
041L10X8808X5900,W RTW,2
041L15A2006X5640,W RTW,2
041P41A1184X5871,W RTW,2
041R05A1166X5645,W RTW,2
041R06A1212X4150,W RTW,2
041R09A8788X0200,W RTW,2
041R21A7631X1852,W RTW,2
041R37A1262X6824,W RTW,2
041R39A1212X3250,W RTW,2
041R39A1212X4150,W RTW,2
041V17A1087X9330,W RTW,2
042J04A3159X6642,W RTW,2
042R01A3330X5701,W RTW,2
043T03CP450X0800,W RTW,2
043T03CP451X5882,W RTW,2
043T03PB451X5882,W RTW,2
044E20BD507X0854,W RTW,2
044E20CA504X0150,W RTW,2
044E20CN504X0150,W RTW,2
044E20MO517X5830,W RTW,2
044G11AM507X9609,W RTW,2
044G11AM507X9656,W RTW,2
044G22AM115X1350,W RTW,2
044R01AM314X1832,W RTW,2
044S27AM703X9000,W RTW,2
044S51AM707X5882,W RTW,2
044S51BD713X0849,W RTW,2
044S51CA713X0849,W RTW,2
044S51CN713X0849,W RTW,2
044S51CN713X0858,W RTW,2
044S51FM713X0849,W RTW,2
044S51PC713X0849,W RTW,2
044S60AM018X0861,W RTW,2
044S68AM019X0200,W RTW,2
044S78MO504X0150,W RTW,2
044S97BD603X0854,W RTW,2
044S97PB603X0858,W RTW,2
044S97PC603X0849,W RTW,2
044T04AM507X9609,W RTW,2
044T16AM019X9000,W RTW,2
044W02AM507X9608,W RTW,2
046C78CF010X5460,W RTW,2
047C09A2860X6824,W RTW,2
047C10A2852X8845,W RTW,2
047C16A6818X1867,W RTW,2
047G10A3905X1320,W RTW,2
047J44A3343X5830,W RTW,2
048V98AL830X9000,W RTW,2
04BP01A2840X9608,W RTW,2
04BS01A2840X9608,W RTW,2
050M07S1294X9000,W RTW,2
050M09A1285X8806,W RTW,2
051B46A7020X5840,W RTW,2
051J32A1238X9330,W RTW,2
051J59A3758X5898,W RTW,2
051L38A1242X8806,W RTW,2
051P45A1290X7812,W RTW,2
051V05A1284X7817,W RTW,2
051V20A1166X0200,W RTW,2
054E01AM521X3829,W RTW,2
054G12AM055X5820,W RTW,2
054G30AM115X9000,W RTW,2
054L03AM605X9000,W RTW,2
054S12AM017X8803,W RTW,2
054S51AM716X0856,W RTW,2
054S63AM115X0200,W RTW,2
054S76AM029X9000,W RTW,2
054T41AM703X9000,W RTW,2
055P98AL100X9000,W RTW,2
055V22AL005X9000,W RTW,2
056G18AF010X0201,W RTW,2
056M42AF003X9000,W RTW,2
057C19A1116X5640,W RTW,2
057P21A2821X5898,W RTW,2
110M36A1384X0888,W RTW,2
111B18X8808X9900,W RTW,2
111B54A3780X9609,W RTW,2
111J14A7780X0300,W RTW,2
111J15A3887X0888,W RTW,2
111J40A8505X9000,W RTW,2
111J51A1212X9000,W RTW,2
111J60Y8808X8120,W RTW,2
111J64A8505X0300,W RTW,2
111P38A6805X0861,W RTW,2
111P51A7771X9330,W RTW,2
111R17A1166X4150,W RTW,2
111V03A7762X8402,W RTW,2
